"Rebill Subscriptions","Rebill Subscriptions"
"Add the option to subscribe to this product","Add the option to subscribe to this product"
"Time lapse of free trial expressed in days. Once it's finished, it will be billed for the first time","Time lapse of free trial expressed in days. Once it's finished, it will be billed for the first time"
"Frequency in which the subscription will be billed, expressed in months or years","Frequency in which the subscription will be billed, expressed in months or years"
"Payment gateway through which the product will be charged","Payment gateway through which the product will be charged"
"Subscription Initial Cost","Subscription Initial Cost"
"Rebill Payments","Rebill Payments"
"Rebill Queue","Rebill Queue"
"Failed queued process will be tried again.","Failed queued process will be tried again."
"Queued process doesn't exists or it isn't failed.","Queued process doesn't exists or it isn't failed."
"The subscription was cancelled.","The subscription was cancelled."
"There was an error cancelling the subscription. Error: %1","There was an error cancelling the subscription. Error: %1"
"Subscription cannot be cancelled.","Subscription cannot be cancelled."
"To enter this section you need to be logged in","To enter this section you need to be logged in"
"Change cannot be made due to subscription status. Contact the store owner to get more information.","Change cannot be made due to subscription status. Contact the store owner to get more information."
"Change cannot be made right now. Try again in a few minutes.","Change cannot be made right now. Try again in a few minutes."
"The subscription status was changed.","The subscription status was changed."
"There was an error changing your subscription status. Contact the store owner to get more information.","There was an error changing your subscription status. Contact the store owner to get more information."
"Subscription cannot be paused.","Subscription cannot be paused."
"The subscription was paused.","The subscription was paused."
"Subscription cannot be reactivated.","Subscription cannot be reactivated."
"The subscription was reactivated.","The subscription was reactivated."
"There was an error trying to update your subscription.","There was an error trying to update your subscription."
"Unable to refund payment on Rebill.","Unable to refund payment on Rebill."
"%1 with a sign-up fee of %2","%1 with a sign-up fee of %2"
"%1 with a maximum of %2 payments","%1 with a maximum of %2 payments"
"%1 for %2 %3 with a sign-up fee of %4","%1 for %2 %3 with a sign-up fee of %4"
"months' 'monthly' 'yearly","months' 'monthly' 'yearly"
"%1 for %2","%1 for %2"
"months' 'months' 'years","months' 'months' 'years"
"every %1 %2 for %3","every %1 %2 for %3"
months,months
year,year
years,years
"year' 'years","year' 'years"
"None selected","None selected"
Sandbox,Sandbox
Production,Production
"No product label","No product label"
"Custom Text","Custom Text"
"Rebill Logo","Rebill Logo"
"No subscription found","No subscription found"
"Can't find any order to pay with rebill.","Can't find any order to pay with rebill."
"There was an error creating the payment, please try again.","There was an error creating the payment, please try again."
"Unable to create prices on Rebill.","Unable to create prices on Rebill."
"One-time only","One-time only"
"One-time and Subscription","One-time and Subscription"
"Subscription Only","Subscription Only"
"Invoice generation process","Invoice generation process"
"The selected shipping method cannot be selected. Reason: %","The selected shipping method cannot be selected. Reason: %"
"Order #%1","Order #%1"
"Subscription: %1","Subscription: %1"
"Queue Id: %1","Queue Id: %1"
"Product %1 doen't exists anymore","Product %1 doen't exists anymore"
"Product %1 is not salable","Product %1 is not salable"
"Could not add the product with SKU ""%1"" to the shopping cart: %2","Could not add the product with SKU ""%1"" to the shopping cart: %2"
"Could not add the product with SKU ""%1"" to the shopping cart","Could not add the product with SKU ""%1"" to the shopping cart"
"Order cant be created.","Order cant be created."
"Before trying to buy a subscription product, you have to be logged in first","Before trying to buy a subscription product, you have to be logged in first"
Subscription,Subscription
Cancel,Cancel
"Are you sure you want to cancel a subscription?","Are you sure you want to cancel a subscription?"
Retry,Retry
status_detail,status_detail
"Card Holder Name","Card Holder Name"
"Last 4 four digits","Last 4 four digits"
Frequency,Frequency
"Frequency Type","Frequency Type"
"Max Recurring Payments","Max Recurring Payments"
Price,Price
"SignUp Cost","SignUp Cost"
Actions,Actions
Product:,Product:
Status:,Status:
Period:,Period:
"Next payment date:","Next payment date:"
"Remaining payments:","Remaining payments:"
"Current payment method:","Current payment method:"
"Card Holder","Card Holder"
"Document Type","Document Type"
"Document Number","Document Number"
"The payment can't be processed, try again with another card.","The payment can't be processed, try again with another card."
"Card Number","Card Number"
"Update your subscription","Update your subscription"
"Enter a card number","Enter a card number"
"Card number is invalid","Card number is invalid"
"Enter an expiry date","Enter an expiry date"
"Expiry month must be between 01 and 12","Expiry month must be between 01 and 12"
"Expiry year cannot be in the past","Expiry year cannot be in the past"
"Expiry date cannot be in the past","Expiry date cannot be in the past"
"Expiry date is invalid","Expiry date is invalid"
"Enter a CVC","Enter a CVC"
"CVC is invalid","CVC is invalid"
Quantity,Quantity
Status,Status
Total,Total
"Payment Method","Payment Method"
"Next Scheduled Payment","Next Scheduled Payment"
Update,Update
Pause,Pause
Reactivate,Reactivate
