"Rebill Subscriptions","Subscripciones Rebill"
"Add the option to subscribe to this product","Agregue la opción para suscribirse a este producto"
"Time lapse of free trial expressed in days. Once it's finished, it will be billed for the first time","Lapso de tiempo de prueba gratuito expresado en días. Una vez finalizado, se facturará por primera vez"
"Frequency in which the subscription will be billed, expressed in months or years","Periodicidad en la que se facturará la suscripción, expresada en meses o años"
"Payment gateway through which the product will be charged","Pasarela de pago a través de la cual se cobrará el producto"
"Subscription Initial Cost","Costo inicial de suscripción"
"Rebill Payments","Pagos Rebill"
"Rebill Queue","Cola Rebill"
"Failed queued process will be tried again.","El proceso en cola fallido se intentará de nuevo."
"Queued process doesn't exists or it isn't failed.","El proceso en cola no existe o no ha fallado."
"The subscription was cancelled.","La suscripción fue cancelada.."
"There was an error cancelling the subscription. Error: %1","Hubo un error al cancelar la suscripción. Error: %1"
"Subscription cannot be cancelled.","La suscripción no se puede cancelar."
"To enter this section you need to be logged in","Para ingresar a esta sección es necesario iniciar sesión"
"Change cannot be made due to subscription status. Contact the store owner to get more information.","No se puede realizar el cambio debido al estado de la suscripción. Póngase en contacto con el propietario de la tienda para obtener más información."
"Change cannot be made right now. Try again in a few minutes.","El cambio no se puede hacer en este momento. Vuelve a intentarlo en unos minutos."
"The subscription status was changed.","Se cambió el estado de la suscripción."
"There was an error changing your subscription status. Contact the store owner to get more information.","Hubo un error al cambiar el estado de su suscripción. Póngase en contacto con el propietario de la tienda para obtener más información."
"Subscription cannot be paused.","La suscripción no se puede pausar."
"The subscription was paused.","La suscripción fue pausada.."
"Subscription cannot be reactivated.","No se puede reactivar la suscripción."
"The subscription was reactivated.","La suscripción fue reactivada."
"There was an error trying to update your subscription.","Hubo un error al intentar actualizar su suscripción."
"Unable to refund payment on Rebill.","No se puede reembolsar el pago en Rebill."
"%1 with a sign-up fee of %2","%1 con un costo inicial de %2"
"%1 with a maximum of %2 payments","%1 con un máximo de %2 pagos"
"%1 with a maximum of %2 payments with a sign-up fee of %3", "%1 con un maximo de %2 pagos con un costo inicial de %3"
"%1 for %2 %3 with a sign-up fee of %4","%1 por %2 %3 con un costo inicial de %4"
monthly, mensualmente
yearly, anualmente
"%1 for %2","%1 por %2"
"months' 'months' 'years","meses' 'meses' 'años"
"every %1 %2 for %3","cada %1 %2 por %3"
months,meses
year,año
years,años
"year' 'years","año' 'años"
"None selected","Nada seleccionado"
Sandbox,Sandbox
Production,Producción
"No product label","Sin etiqueta de producto"
"Custom Text","Texto personalizado"
"Rebill Logo","Logo Rebill"
"No subscription found","No se encontraron suscripciones"
"Can't find any order to pay with rebill.","No pudimos encontrar ningún pedido para pagar con Rebill."
"There was an error creating the payment, please try again.","Hubo un error al crear el pago, intente nuevamente."
"Unable to create prices on Rebill.","No se pueden crear precios en Rebill."
"One-time only","Solo Única vez"
"One-time and Subscription","Solo una vez y suscripción"
"Subscription Only","Solo suscripción"
"Invoice generation process","Proceso de generación de factura."
"The selected shipping method cannot be selected. Reason: %","No se puede seleccionar el método de envío seleccionado. Razón: %"
"Order #%1","Pedido #%1"
"Subscription: %1","Suscripciones: %1"
"Queue Id: %1","Id de cola: %1"
"Product %1 doen't exists anymore","El producto %1 no existe más"
"Product %1 is not salable","El producto %1 no es vendible"
